agent,group,model,fit_AS,Unnamed: 0,id,fit_DB,fit_VS,fit_SG,r2,lambda,beta,tau,par
4,19,DB,410.2287937720076,21120,30,413.4755320874195,416.6100538721955,404.01867250991,0.32829482390147274,0.7512818979587403,0.29231815630967267,0.046833340137857456,0.21911174554111368
4,19,VS,410.2287937720076,21120,30,413.4755320874195,416.6100538721955,404.01867250991,0.28245784645275707,1.4347137517071014,0.0380732910749155,0.11536968220303279,0.116
4,19,SG,410.2287937720076,21120,30,413.4755320874195,416.6100538721955,404.01867250991,0.3341823009195116,0.6275391180180603,0.31646222454763295,0.03954012697615289,8.811350669798935
1,19,AS,309.83207661184093,31440,31,316.04761447326814,337.3465366474366,309.11642104533263,0.23625582634899864,1.2385613210932145,0.006737946999085468,0.07218039509954816,
1,19,DB,309.83207661184093,31440,31,316.04761447326814,337.3465366474366,309.11642104533263,0.2302112056168338,1.2649942304574044,0.006737946999085468,0.07451999032955199,0.21428570000000002
1,19,VS,309.83207661184093,31440,31,316.04761447326814,337.3465366474366,309.11642104533263,0.22437550420667052,1.1144566528073065,0.0067568504473300706,0.08724252804507382,0.11611755796916678
1,19,SG,309.83207661184093,31440,31,316.04761447326814,337.3465366474366,309.11642104533263,0.24781753046045915,1.2137825635205561,0.006737946999085468,0.0709559750745394,18.999999999999996
3,23,AS,336.501256666538,22560,32,338.8927506170209,350.92611124945506,337.7770809435199,0.41122489946275087,1.5970405355486514,0.08571830850957331,0.07740690329824151,
3,23,DB,336.501256666538,22560,32,338.8927506170209,350.92611124945506,337.7770809435199,0.39302715385362447,1.6034588451910776,0.08375803898654796,0.07895004902741148,0.21428570000000002
3,23,VS,336.501256666538,22560,32,338.8927506170209,350.92611124945506,337.7770809435199,0.3840284898924693,1.6858366971246814,0.012246968136159003,0.10219290324162773,0.116
3,23,SG,336.501256666538,22560,32,338.8927506170209,350.92611124945506,337.7770809435199,0.3963943400881032,1.567354404502367,0.07734019387199852,0.0788934655716001,18.999999999999996
2,23,AS,397.9336958012254,26640,33,396.2387335069616,399.5771245902181,394.00178993753576,0.25170211224768274,0.8265189241588831,0.32944510509448144,0.05620806430394715,
2,23,DB,397.9336958012254,26640,33,396.2387335069616,399.5771245902181,394.00178993753576,0.25550827088640404,0.8633902493891349,0.3267447924732413,0.057270018462860506,0.2329622765747396
2,23,VS,397.9336958012254,26640,33,396.2387335069616,399.5771245902181,394.00178993753576,0.2481305720188806,1.0672739301210794,0.26469705008976124,0.078873382541571,0.116
2,23,SG,397.9336958012254,26640,33,396.2387335069616,399.5771245902181,394.00178993753576,0.2585785862459773,0.6684662322644637,0.36639516313810905,0.04209820354558639,7.630477276994455
