agent,group,model,Unnamed: 0,id,r2_DB,r2_VS,r2_SG,r2_AS,fit,lambda,beta,tau,par
3,6,AS,5520,18,0.277092831885569,0.27813798209102847,0.27894351482071367,0.286697637270218,383.1350574611062,0.8950543865975857,0.37493810007635164,0.04987896549562637,
3,6,DB,5520,18,0.277092831885569,0.27813798209102847,0.27894351482071367,0.286697637270218,388.2940725649778,0.9021822210341209,0.37274681021177153,0.05195290297544477,0.21428570000000002
3,6,VS,5520,18,0.277092831885569,0.27813798209102847,0.27894351482071367,0.286697637270218,387.73269255988185,0.8970220225910716,0.3692729254580548,0.05068212004863651,0.116
3,6,SG,5520,18,0.277092831885569,0.27813798209102847,0.27894351482071367,0.286697637270218,387.3000179399722,0.8592412894770074,0.37770539696598376,0.04996351432175816,18.999999999999996
2,6,AS,11280,19,0.27392062837587394,0.2801369708641469,0.2774909520093109,0.2785678854374085,383.84035957548224,0.8941556554233002,0.40418215508420063,0.053641365327682725,
2,6,DB,11280,19,0.27392062837587394,0.2801369708641469,0.2774909520093109,0.2785678854374085,388.1812779237429,0.9184159889812419,0.3947185784288145,0.05574133499072244,0.21428570000000002
2,6,VS,11280,19,0.27392062837587394,0.2801369708641469,0.2774909520093109,0.2785678854374085,396.3167807761226,1.1993567639443545,0.2892431868673978,0.06991938938227761,0.116
2,6,SG,11280,19,0.27392062837587394,0.2801369708641469,0.2774909520093109,0.2785678854374085,386.7437527467736,1.0292449505465617,0.354629439869688,0.0604469324423942,18.999999999999996
3,8,AS,7440,20,0.2554537695399168,0.27101096361053734,0.2785843196797971,0.2663271642854494,386.08958624185567,1.0130051265380455,0.35614329010249857,0.05116836305628523,
3,8,DB,7440,20,0.2554537695399168,0.27101096361053734,0.2785843196797971,0.2663271642854494,383.5199496479884,1.1191731911010216,0.3340297104628582,0.05164830688442396,0.21428570000000002
3,8,VS,7440,20,0.2554537695399168,0.27101096361053734,0.2785843196797971,0.2663271642854494,390.86317288330446,1.0904856998182841,0.2818878257784999,0.05892996473670948,0.116
3,8,SG,7440,20,0.2554537695399168,0.27101096361053734,0.2785843196797971,0.2663271642854494,389.50616770167954,0.8966163738744496,0.3849085464625393,0.04988691493477062,18.999999999999996
2,8,AS,8880,21,0.22826259623409678,0.22314412767860253,0.2464526899583143,0.22210116985716422,417.83166376333503,1.629665624741177,0.06073567505880742,0.10154810102925506,
2,8,DB,8880,21,0.22826259623409678,0.22314412767860253,0.2464526899583143,0.22210116985716422,414.5221858023561,1.681972249327568,0.05087174312022453,0.10542483766590591,0.2187359408439522
2,8,VS,8880,21,0.22826259623409678,0.22314412767860253,0.2464526899583143,0.22210116985716422,417.2714613502699,1.5999165210955213,0.07159020217258842,0.0989597323380575,0.116
2,8,SG,8880,21,0.22826259623409678,0.22314412767860253,0.2464526899583143,0.22210116985716422,404.7517672976705,1.761262415667772,0.006737946999085468,0.11157037315111538,18.999999999999996
1,8,AS,13680,22,0.28598106356871794,0.2723098048786023,0.27483621164676364,0.2811970381498264,394.0766198970712,0.8000862258860089,0.3696461174779861,0.03694185409668827,
1,8,DB,13680,22,0.28598106356871794,0.2723098048786023,0.27483621164676364,0.2811970381498264,399.91703055361785,0.9766845362863306,0.3204888584470837,0.04500758037717764,0.21428570000000002
